"order_id","material","material_description","amount","start","end"
"1322974","123.624.869.200","KAMMERRING NR.1!D240/114X23,5","2.000","11/16/2018","12/21/2018"
"1323324","123.625.472.200","ZYL-BLOCK ABPRESSEN!3K160-3K_1 (CLASS)","3.000","11/16/2018","12/11/2018"
"1324319","123.625.235.001","K-MANTEL SPEZ!D375/345X160 UM","1.000","11/30/2018","12/4/2018"
"1324320","123.625.236.001","K-MANTEL SPEZ!D225/195X160 UM","1.000","11/30/2018","12/4/2018"
"1324620","122.877.734.001","GEHAEUSE!D215/161X88","2.000","12/3/2018","12/6/2018"
"A1310266A","NCR","NON COMFORMITY REPORT","1.000","11/27/2018","12/6/2018"
"A142670A","NCR","NON COMFORMITY REPORT","2.000","11/29/2018","12/6/2018"
"V-980-028","VOR.RIC.HTU.NG","VORRICHTUNG-WERKZEUG HERSTELLUNG","1.000","10/31/2018","12/20/2018"
"1306657","106.034.807.200.2","ZAHNRADOELPUMPE!3K160","3.000","11/16/2018","11/29/2018"
"1311998","122.131.271.001","VENTILKOPF!340X240X130","1.000","10/10/2018","12/11/2018"
"1317554","122.864.194.001","ZYL-BLOCK!960X600X1059 (CLASS)","1.000","10/31/2018","11/29/2018"
"1301256","122.840.871.002","OELFANG!530X670X48","1.000","7/26/2018","9/6/2018"
"1306594","123.604.621.200","ZYL-BLOCK ABPRESSEN!3K160-3K_1(CLASS)","3.000","10/28/2018","12/10/2018"
"1309234","122.847.530.002","ZYL-DECKEL!D485X290","4.000","9/20/2018","12/6/2018"
"1309985","122.229.839.200","KREUZKOPFSCHUH!600X460X105","2.000","10/11/2018","12/10/2018"
"1310303","123.603.455.001","ZYL-BLOCK!1270X930X960 (CLASS)","3.000","10/19/2018","11/30/2018"
"1311102","000.630.782.301","STOPFB KAMMER!D190/125","45.000","10/18/2018","12/11/2018"
"1313201","123.621.305.001","K-BODEN!U D405/60X90","1.000","11/14/2018","12/7/2018"
"1317234","106.010.407.205","ABSTREIFELEMENT LW200!D83/75X12","60.000","10/3/2018","11/27/2018"
"1317472","122.600.315.002","AUSSENRING!D366/230X53","15.000","11/23/2018","11/30/2018"
"1319874","122.235.503.001","FEDERFUEHRUNG!D87,9/35X150","3.000","11/15/2018","12/12/2018"
"1320211","123.620.421.200","GEGENGEWICHT!CP","4.000","11/19/2018","11/29/2018"
"1321226","000.630.227.023","ABSTREIFELEMENT LW200!D83/75X12","75.000","11/8/2018","12/7/2018"
"1298737","122.138.261.202","ZWISCHENKREUZKOPF!D170X1280","8.000","7/31/2018","12/12/2018"
"1299957","123.618.505.200","SCHUBSTANGE-KREUZKOPF 3T!HYD/SPM","6.000","11/8/2018","12/6/2018"
"1300488","122.131.820.200","OELABSTREIFUNG GESTELLSEITE!","10.000","11/30/2018","12/6/2018"
"1303885","123.602.698.001","KOLBENSTANGE WCCO!D75X1007(CLASS)","12.000","9/7/2018","12/6/2018"
