"material","description","product_hierarchy","division","gpr","basic_material","dimensions","min_lot","weight_net","weight_net_unit","weight_gross","weight_gross_unit"
"000.034.008.322","SCHALTBUEGEL!","0001-1000","01","K600","EN-GJL-150","","2.000","22.500","KG","22.500","KG"
"000.230.280.501","STOPFBUECHSKAMMER!D110/68X42","0001-1000","01","K211","X12CRS13/V+S","D110/68X42","6.000","1.237","KG","1.237","KG"
"000.230.282.502","KOLBENMUTTER!D79X40","0001-1000","01","K131","C45E","D79X40","4.000","0.920","KG","0.920","KG"
"000.230.283.602","MUTTER!SW60X71","0001-1000","01","K131","C45E","SW60X71","4.000","0.900","KG","0.900","KG"
"000.230.286.301","KOLBENST MUTTER!D108X58","0001-1000","01","K131","C45E","D108X58","4.000","1.500","KG","1.500","KG"
"000.230.286.401","KOLBENST MUTTER!D98X52","0001-1000","","K131","C45E","D98X52","3.000","1.320","KG","1.320","KG"
"000.230.316.202","STOPFB DECKEL!D185/68X46","0001-1000","","K212","X12CRS13/V+S","D185/68X46","2.000","5.000","KG","5.000","KG"
"000.230.319.321","K-MANTEL!D210X150","0001-1200","01","K411","G-CUSN10","D210X150","","7.720","KG","7.720","KG"
"000.230.319.323","K-MANTEL!D210X150","0001-1200","01","K411","EN-GJL-200","D210X150","","6.400","KG","6.400","KG"
"000.230.319.324","K-MANTEL!D210X150","0001-1000","01","K411","EN-GJL-200","D210X150","3.000","6.400","KG","6.400","KG"
"000.230.319.621","K-MANTEL!D440X150","0001-1000","01","K411","G-CUSN10","D440X150","","16.100","KG","16.100","KG"
"000.230.319.671","K-MANTEL!D441X150 UM","0001-1000","01","K411","G-CU SN 10","D441X150","","16.100","KG","16.100","KG"
"000.230.322.801","LATERNE DV-176!D191/122X162,5","0001-1000","01","K361","EN-GJL-200","DV D191/122X162,5","","5.450","KG","5.450","KG"
"000.230.322.821","LATERNE SV-176!D191/122X156,5","0001-1000","01","K361","EN-GJL-200","D191/122X156,5","","5.250","KG","5.250","KG"
"000.600.042.721","LATERNE SV-196!D211/142X193,5","0001-1000","01","K361","EN-GJL-200","D211/142X193,5","","10.718","KG","10.718","KG"
"000.600.042.722","LATERNE DV-196!D211/142X197,5","0001-1000","01","K361","EN-GJL-200","D211/142X197,5","","10.800","KG","10.800","KG"
"000.600.047.705","DECKEL GESTELL!138X138X40","0001-1000","01","K191.1","EN-GJL-250","138X138X40","","2.500","KG","2.500","KG"
"000.600.050.701","HANDGRIFF!L=110","0001-1200","01","K490","EN-GJL-150","L=110","70.000","0.230","KG","0.230","KG"
"000.600.055.032.2","LAGERSCHILD!PS D328X89","0001-1000","","K101.2","EN-GJL-200","PS D328X89","","26.100","KG","26.100","KG"
"000.600.055.203","DECKEL L-SCHILD!D328/88X63","0001-1200","01","K101.2","EN-GJS-400-15","D328/88X63","3.000","13.806","KG","13.806","KG"
"000.600.056.522","DECKEL KURBELGEH!205X205X50","0001-1200","01","K191.1","EN-GJL-250","205X205X50","100.000","6.850","KG","6.850","KG"
"000.600.056.522.P","DECKEL KURBELGEH CSS!205X205X50","0001-1000","01","K600","EN-GJL-250","205X205X50","","6.850","KG","6.850","KG"
"000.600.056.523.2","GESTELLDECKEL!205X205X50","0001-1200","01","K191.1","EN-GJS-400-18-LT","205X205X50","2.000","6.850","KG","6.850","KG"
"000.600.056.525","GESTELLDECKEL!205X205X50","0001-1000","01","K191.1","EN-GJS-400-15","205X205X50","","6.904","KG","6.904","KG"
"000.600.058.801","MUTTER!Z KW G 2""","0001-1000","","K131","CK 60","Z KW G 2""","6.000","0.620","KG","0.620","KG"
"000.600.063.261","ANTRIEB!2K90","0001-1200","01","K600","EN-GJL-250","AM KOMPR.","","250.000","KG","250.000","KG"
"000.600.063.981","ABTREIBKEIL!","0001-1000","","K600","ST","","5.000","0.320","KG","0.320","KG"
"000.600.124.881","STOPF.LECKG.RFR.MIT ZYLINDER!","0001-1200","01","K600","","","","0.600","KG","0.600","KG"
"000.600.127.301","LAGERSCHILD!PS D380X102","0001-1000","01","K101.2","EN-GJL-250","D380X102","2.000","27.500","KG","27.500","KG"
"000.600.127.321","LAGERSCHILD!AS D380X102","0001-1200","01","K101.2","EN-GJL-250","AS D380X102","2.000","26.800","KG","26.800","KG"
"000.600.128.102","DECKEL L-SCHILD!D380X74","0001-1200","01","K101.2","EN-GJL-250","D380X74","","19.000","KG","19.000","KG"
"000.600.128.501.2","LATERNE!DV D171X136,5","0001-1000","","K361","EN-GJL-200","D171X136,5","","3.280","KG","3.280","KG"
"000.600.128.601","LATERNE DV-176!D191/122X126,5","0001-1200","01","K361","EN-GJL-200","D191/122X126,5","","3.880","KG","3.880","KG"
"000.600.134.383","GEH Z SERVOM!218X218X159,5","0001-1200","","K191.2","EN-GJL-250","218X218X159,5","","16.800","KG","16.800","KG"
"000.600.143.401","ZYL-DECKEL!D565X233","0001-1200","01","K82.2","EN-GJL-250","D565X233","3.000","125.000","KG","125.000","KG"
"000.600.143.404","ZYL-DECKEL!D565X233","0001-1200","01","K82.2","EN-GJS-350-22-LT","D565X233","","125.000","KG","125.000","KG"
"000.600.143.501","ZYL-DECKEL!D440X233","0001-1000","","K82.2","EN-GJL-250","D440X233","","60.000","KG","60.000","KG"
"000.600.143.601","ZYL-DECKEL!D432X185","0001-1200","01","K82.2","EN-GJL-250","D432X185","","52.000","KG","52.000","KG"
"000.600.144.301","K-BODEN!O D440X75","0001-1200","01","K422","ALCU2MGNI1.5","O D440X75","","8.320","KG","8.320","KG"
"000.600.144.401","K-BODEN!U D440X75","0001-1200","01","K422","ALCU2MGNI1.5","U D440X75","","8.720","KG","8.720","KG"
"000.600.146.001","ZYL-DECKEL!D492X233(DNV-GL)","0001-1000","01","K82.2","EN-GJL-250","D492X233","","75.000","KG","75.000","KG"
"000.600.146.005","ZYL-DECKEL!D492X233","0001-1200","01","K82.2","EN-GJS-350-22-LT","D492X233","","76.000","KG","76.000","KG"
"000.600.152.601","K-BODEN!O D465X75","0001-1200","01","K422","AL CU2MG NI 1.","O D465X75","","9.800","KG","9.800","KG"
"000.600.152.701","K-BODEN!U D465X75","0001-1200","01","K422","AL CU2MG NI 1.","U D465X75","","10.100","KG","10.100","KG"
"000.600.180.301","DECKEL OELP!D282X40","0001-1000","","K72","EN-GJL-200","D282X40","3.000","6.520","KG","6.520","KG"
"000.600.183.701","K-BODEN!O D390X75","0001-1200","01","K422","EN-GJS-600-3","O D390X75","","17.000","KG","17.000","KG"
"000.600.183.803","K-BODEN!U D390X75","0001-1200","01","K422","EN-GJS-350-22-LT","U D390X75","","17.900","KG","17.900","KG"
"000.600.255.605","DECKEL KURBELGEH!205X205X50","0001-1200","01","K191.1","EN-GJS-350-22-LT","205X205X50","15.000","6.850","KG","6.850","KG"
"000.600.255.901","DECKEL OELP!D175X43","0001-1000","01","K72","EN-GJL-250","D175X43","5.000","5.100","KG","5.100","KG"
"000.600.258.201","GEH Z STEUERAPP!","0001-1200","01","K490","EN-GJL-250","","20.000","3.840","KG","3.840","KG"
"000.600.258.783","STEUERAPPARAT!100/50%","0001-1200","01","K600","","100/50%","","6.720","KG","6.720","KG"
"000.600.263.081","ABTREIBKEIL!","0001-1000","01","K600","ST","","3.000","0.500","KG","0.500","KG"
"000.600.264.801","DECKEL OELP!D190X43","0001-1000","01","K72","EN-GJL-200","D190X43","2.000","3.900","KG","3.900","KG"
"000.600.278.505","DECKEL GESTELL!173X173X46","0001-1200","01","K191.1","EN-GJS-400-18-LT","173X173X46","","4.520","KG","4.520","KG"
"000.600.278.507","DECKEL GESTELL!173X173X46","0001-1200","01","I191.1","EN-GJL-250","173X173X46","70.000","4.580","KG","4.580","KG"
"000.600.278.508","DECKEL GESTELL!173X173X46","0001-1200","01","K191.1","EN-GJS-400-18-RT","173X173X46","","4.520","KG","4.520","KG"
"000.600.278.509","DECKEL GESTELL!173X173X46","0001-1200","01","K191.1","EN-GJS-400-15","173X173X46","9.000","4.520","KG","4.520","KG"
"000.600.278.510","DECKEL GESTELL!173X173X46","0001-1000","01","K191.1","EN-GJS-350-22-LT","173X173X46","4.000","4.480","KG","4.480","KG"
"000.600.278.701","DECKEL GESTELL!255X255X60","0001-1200","01","K191.1","EN-GJL-250","255X255X60","15.000","12.750","KG","12.750","KG"
"000.600.279.801","STOPFB DECKEL!D168/69X52","0001-1200","01","K212","X12CRS13/V+S","D168/69X52","","2.650","KG","2.650","KG"
"000.600.280.001","STOPFB DECKEL!D178/79X55","0001-1200","02","K212","X12CRS13/V+S","D178/79X55","2.000","3.240","KG","3.240","KG"
"000.600.280.601","K-MANTEL!D330X146","0001-1200","01","K411","AL CU2MG NI 1.","D330X146","","4.400","KG","4.400","KG"
"000.600.280.671","K-MANTEL!D331X146 UM","0001-1000","01","K411","ALCU2MGNI1.5","D331X146","","4.400","KG","4.400","KG"
"000.600.281.401","K-BODEN!O D315X75","0001-1200","01","K422","AL CU2MG NI 1.","O D315X75","","5.000","KG","5.000","KG"
"000.600.281.501","K-BODEN!U D315X75","0001-1200","01","K422","ALCU2MGNI1.5","U D315X75","2.000","5.400","KG","5.400","KG"
"000.600.282.701.2","LATERNE!DV D125X141,5","0001-1000","01","K361","EN-GJL-200","DV D125X141,5","","2.460","KG","2.460","KG"
"000.600.282.721.2","LATERNE!SV D125X133,5","0001-1000","01","K361","EN-GJL-200","SV D125X133,5","","2.020","KG","2.020","KG"
"000.600.283.202","DECKEL OELP!D235X40","0001-1200","01","K72","EN-GJS-400-15","D235X40","2.000","6.282","KG","6.282","KG"
"000.600.291.101","K-MANTEL!D480/450X146","0001-1200","01","K411","AL CU2MG NI 1.","D480/450X146","","6.550","KG","6.550","KG"
"000.600.293.804","DECKEL GESTELL!173X173X46 G1 1/4""","0001-1200","01","K191.1","EN-GJS-350-22-LT","173X173X46 G1 1/4""","","4.325","KG","4.325","KG"
"000.600.296.601","K-BODEN!O D135X42,5","0001-1200","01","K422","S355J2+N","O D135X42,5","","2.270","KG","2.270","KG"
"000.600.296.701","K-BODEN!U D135X42,5","0001-1200","01","K422","S355J2+N","U D135X42,5","","2.540","KG","2.540","KG"
"000.600.296.802","K-MANTEL!D145X81","0001-1000","","K411","EN-GJL-250","D145X81","","1.750","KG","1.750","KG"
"000.600.297.202","K-MANTEL!D225X81","0001-1000","01","K411","EN-GJL-250","D225X81","","2.700","KG","2.700","KG"
"000.600.302.701","K-MANTEL!D345/315X150","0001-1200","01","K411","G-CU SN 10","D345/315X150","","12.000","KG","12.000","KG"
"000.600.302.721","K-MANTEL!D345/315X150","0001-1200","01","K411","EN-GJL-200","D345/315X150","","10.600","KG","10.600","KG"
"000.600.306.402","K-MANTEL!D270/250X86","0001-1000","01","K411","EN-GJL-200","D270/250X86","","3.800","KG","3.800","KG"
"000.600.306.802","K-MANTEL!D175/155X86","0001-1000","01","K411","EN-GJL-250","D175/155X86","2.000","2.400","KG","2.400","KG"
"000.600.320.301","K-BODEN!U D295X75","0001-1200","01","K422","EN-GJS-600-3","U D295X75","3.000","12.700","KG","12.700","KG"
"000.600.323.001","K-MANTEL!D290/260X150","0001-1000","01","K411","G-CU SN 10","D290/260X150","","10.300","KG","10.300","KG"
"000.600.323.002","K-MANTEL!D290/260X150","0001-1200","01","K411","EN-GJL-200","D290/260X150","","8.800","KG","8.800","KG"
"000.600.323.005","K-MANTEL!D290/260X150","0001-1000","01","K411","EN-GJL-200","D290/260X150","","8.800","KG","8.800","KG"
"000.600.323.101","K-BODEN!U D275X75","0001-1200","01","K422","EN-GJS-600-3","D275X75","","11.100","KG","11.100","KG"
"000.600.323.121","K-BODEN!O D275X75","0001-1200","01","K422","EN-GJS-600-3","D275X75","","10.400","KG","10.400","KG"
"000.600.324.081","FED FUEHRG RING!D214/179X15","0001-1200","01","K212","C35E","D214/179X15","15.000","0.980","KG","0.980","KG"
"000.600.324.101","FED FUEHRG RING!D214/179X15","0001-1200","01","K212","CK 25","D214/179X15","20.000","0.960","KG","0.960","KG"
"000.600.356.501","STOPFB KAMMER!D82/49X34","0001-1200","01","K211","X12CRS13/V+S","D82/49X34","5.000","0.580","KG","0.580","KG"
"000.600.356.601","STOPFB KAMMER!D81,8/49X34","0001-1200","01","K211","X12CRS13/V+S","D81,8/49X34","5.000","0.330","KG","0.330","KG"
"000.600.356.801","STOPFB DECKEL!D130/49X46","0001-1200","01","K212","X12CRS13/V+S","D130/49X46","5.000","1.460","KG","1.460","KG"
"000.600.357.502","MUTTER!G2""X35","0001-1000","01","K131","S235JR","G2""X35","","0.480","KG","0.480","KG"
"000.600.357.581","FILTERSCHRAUBE!SW60X35","0001-1000","01","K790","ST","SW60X35","20.000","0.420","KG","0.420","KG"
"000.600.358.402","DECKEL OELF!100X100X42","0001-1000","01","K191.1","EN-GJS-400-15","100X100X42","5.000","1.800","KG","1.800","KG"
"000.600.358.405","DECKEL OELF!100X100X42","0001-1200","01","K72","EN-GJL-250","100X100X42","20.000","1.800","KG","1.800","KG"
"000.600.358.407","DECKEL OELF!100X100X42","0001-1200","01","K191.1","EN-GJS-400-18-LT","100X100X42","","1.800","KG","1.800","KG"
"000.600.360.201","STOPFB KAMMER!D98/59X34","0001-1200","","K211","X12CRS13/V+S","D98/59X34","5.000","0.450","KG","0.450","KG"
"000.600.360.301","STOPFB KAMMER!D98/59X34","0001-1200","01","K211","X12CRS13/V+S","D98/59X34","6.000","0.760","KG","0.760","KG"
"000.600.360.401","ZWISCHENRING!D98/59X10","0001-1200","01","K211","X12CRS13/V+S","D98/59X10","4.000","0.280","KG","0.280","KG"
"000.600.360.501","STOPFB DECKEL!D155/59X47","0001-1200","01","K212","X12CRS13/V+S","D155/59X47","4.000","2.100","KG","2.100","KG"
"000.600.372.301","STOPFB KAMMER!D110/69X40","0001-1200","","K211","X12CRS13/V+S","D110/69X40","","0.780","KG","0.780","KG"
"000.600.372.401","STOPFB KAMMER!D110/69X40","0001-1200","01","K211","X12CRS13/V+S","D110/69X40","","1.180","KG","1.180","KG"
"000.600.372.501","STOPFB KAMMER!D120/79X40","0001-1200","01","K211","X12CRS13/V+S","D120/79X40","4.000","0.947","KG","0.947","KG"
"000.600.372.601","STOPFB KAMMER!D119,8/79X40","0001-1200","01","K211","X12CRS13/V+S","D119,8/79X40","4.000","1.300","KG","1.300","KG"
"000.600.372.701","ZWISCHENRING!D120/79X12","0001-1200","01","K211","X12CRS13/V+S","D120/79X12","6.000","0.450","KG","0.450","KG"
"000.600.374.901","FED FUEHRG RING!D126/93X14,5","0001-1200","01","K212","C35E","D126/93X14,5","7.000","0.500","KG","0.500","KG"
"000.600.375.081","FED FUEHRG RING!D126/93X14,5","0001-1200","01","K212","C35E","D126/93X14,5","9.000","0.480","KG","0.480","KG"
"000.600.375.101","FED FUEHRG RING!D174/139X17,5","0001-1200","01","K212","S355J2+N","D174/139X17,5","45.000","0.840","KG","0.840","KG"
"000.600.375.281","FED FUEHRG RING!D174/139X17,5","0001-1200","01","K212","ST 52","D174/139X17,5","45.000","0.820","KG","0.820","KG"
"000.600.375.381","FED FUEHRG RING!D154/119X17,5","0001-1200","01","K212","C35E","D154/119X17,5","20.000","0.700","KG","0.700","KG"
"000.600.375.401","FED FUEHRG RING!D154/119X17,5","0001-1200","01","K212","C35E","D154/119X17,5","15.000","0.740","KG","0.740","KG"
"000.600.379.081","FED FUEHRG RING!D112/79X12,5","0001-1200","01","K212","S355J2+N","D112/79X12,5","15.000","0.600","KG","0.600","KG"
"000.600.379.101","FED FUEHRG RING!D112/79X12,5","0001-1200","01","K212","S355J2+N","D112/79X12,5","15.000","0.380","KG","0.380","KG"
"000.600.408.904","BOLZENSTANGE!M20X160","0001-1000","","K141","8.8","M20X160","150.000","0.320","KG","0.320","KG"
"000.600.454.181","ROHRANSCHL M KUGELKOPF!D14","0001-1200","01","K600","ST","D14","40.000","0.200","KG","0.200","KG"
"000.600.454.781","ROHRANSCHLUSS!D18","0001-1000","01","K600","ST","D18","5.000","0.350","KG","0.350","KG"
"000.600.455.081","ROHRANSCHLUSS!D25","0001-1000","","K600","ST","G1""/ ROHR D25","3.000","0.720","KG","0.720","KG"
"000.600.456.381","ROHRANSCHLUSS!D6","0001-1000","","K490","ST","D6","7.000","0.072","KG","0.072","KG"
"000.600.457.981","ROHRANSCHL.M.DOPPELNIPPEL!D14","0001-1000","","K600","ST","D14","6.000","0.163","KG","0.163","KG"
"000.600.458.021","DOPPELNIPPEL!G1/2""X38","0001-1000","","K600","C 35","G1/2""X38","5.000","0.082","KG","0.082","KG"
"000.600.458.221","UEBERWURFMUTTER!G1/2X19","0001-1000","01","K600","C35","G1/2X19","5.000","0.045","KG","0.045","KG"
"000.600.458.381","ROHRANSCHL.M.DOPPELNIPPEL!D18X2","0001-1000","01","K600","ST","D18X2","5.000","0.200","KG","0.200","KG"
"000.600.458.421","DOPPELNIPPEL!G3/4""X46","0001-1000","01","K131","C35","G3/4""X46","9.000","0.245","KG","0.245","KG"
"000.600.458.621","UEBERWURFMUTTER!G3/4""X22","0001-1000","01","K131","C 35","G3/4""X22","9.000","0.055","KG","0.055","KG"
"000.600.465.201","VENTILSITZ!SW32X48,5","0001-1000","01","K381","C 35","SW32X48,5","25.000","0.120","KG","0.120","KG"
"000.600.465.381","RUECKSCHLAGVENTIL!","0001-1200","01","K600","ST","","30.000","0.200","KG","0.200","KG"
"000.600.481.181","OELABLASS!G 3/4""","0001-1200","01","K600","ST","G 3/4""","25.000","0.500","KG","0.500","KG"
"000.600.504.101","VENTILSITZ!D38,5/18X18","0001-1000","01","K381","C45E","D38,5/18X18","50.000","0.061","KG","0.061","KG"
"000.600.510.201","MUTTER!M98X2","0001-1000","01","K131","C60E","M98X2","25.000","2.660","KG","2.660","KG"
"000.600.511.901","DRUCKRING!D102/92X10","0001-1200","01","K490","G-CU PB 15 SN","D102/92X10","10.000","0.110","KG","0.110","KG"
"000.600.512.301","DRUCKRING!D152/138X11","0001-1200","01","K490","G-CU PB 15 SN","D152/138X11","65.000","0.960","KG","0.960","KG"
"000.600.512.303","DRUCKRING!D152/138X11","0001-1200","01","K490","GGL-E711","D152/138X11","64.000","0.960","KG","0.960","KG"
"000.600.512.304","DRUCKRING!D152/138X11","0001-1200","01","K490","TOKAT70","D152/138X11","16.000","0.960","KG","0.960","KG"
"000.600.512.801","DRUCKRING!D132/118X11","0001-1200","01","K490","G-CU PB 15 SN","D132/118X11","20.000","0.210","KG","0.210","KG"
"000.600.512.803","DRUCKRING!D132/118X11","0001-1200","01","K490","GGL-E711","D132/118X11","15.000","0.210","KG","0.210","KG"
"000.600.517.601","DRUCKRING!D88/78X8,3","0001-1200","01","K490","G-CU PB 15 SN","D88/78X8,3","16.000","0.080","KG","0.080","KG"
"000.600.517.603","DRUCKRING!D88/78X8,3","0001-1200","01","K490","GGL-E711","D88/78X8,3","8.000","0.070","KG","0.070","KG"
"000.600.546.081","AUFSATZ!Z KK-KEIL","0001-1000","","K490","","","3.000","1.340","KG","1.340","KG"
"000.600.575.801","DRUCKRING!D192/178X11","0001-1200","01","K490","G-CU PB 15 SN","D192/178X11","10.000","0.300","KG","0.300","KG"
"000.600.575.803","DRUCKRING!D192/178X11","0001-1200","01","K490","GGL-E711","D192/178X11","","0.300","KG","0.300","KG"
"000.600.578.701","FEDERFUEHRUNG!D60X45","0001-1200","01","K212","S235JR","D60X45","8.000","0.300","KG","0.300","KG"
"000.630.014.701","GEH Z OELP!D375/28X85","0001-1000","01","K72","EN-GJL-250","D375/28X85","2.000","23.000","KG","23.000","KG"
"000.630.053.981","KW-LAGER!4D250","0001-1000","01","K650","","","","27.400","KG","27.400","KG"
"000.630.056.284","GEH Z OELP!2D200","0001-1000","01","K72","EN-GJL-250","2D200","2.000","45.500","KG","45.500","KG"
"000.630.079.681","KK-KOERPER!D420X620","0001-1000","01","K151.2","GE200","D420X620","","145.000","KG","145.000","KG"
"000.630.105.721","K-MANTEL!D480/450X150","0001-1000","01","K411","G-CUSN10","D480/450X150","2.000","17.500","KG","17.500","KG"
"000.630.105.723","K-MANTEL!D480/450X150","0001-1200","01","K411","EN-GJL-200","D480/450X150","","15.000","KG","15.000","KG"
"000.630.105.725","K-MANTEL!D480/450X150","0001-1200","01","K411","EN-GJL-200","D480/450X150","2.000","15.000","KG","15.000","KG"
"000.630.105.772","K-MANTEL!D482/450X150 UM","0001-1000","01","K411","G-CU SN 10","D482/450X150 UM","","17.750","KG","17.750","KG"
"000.630.113.121","K-MANTEL!D525/495X180","0001-1000","","K411","G-CU SN 10","D525/495X180","4.000","23.000","KG","23.000","KG"
"000.630.113.122","K-MANTEL!D525X180","0001-1000","","K411","EN-GJL-200","D525X180","2.000","20.000","KG","20.000","KG"
"000.630.113.123","K-MANTEL!D525/495X180","0001-1000","01","K411","EN-GJL-200","D525/495X180","4.000","20.000","KG","20.000","KG"
"000.630.113.170","K-MANTEL!D526/495X180 UM","0001-1000","01","K411","G-CU SN 10","D526/495X180 UM","","23.000","KG","23.000","KG"
"000.630.113.182","K-MANTEL!D525,27/495X180 UM","0001-1000","01","K411","G-CUSN10","D525,27/495X180 UM","","23.000","KG","23.000","KG"
"000.630.113.521","K-MANTEL!D420/390X180","0001-1000","","K411","G-CU SN 10","D420/390X180","","19.100","KG","19.100","KG"
"000.630.118.901","K-BODEN!O D510/60X90","0001-1000","01","K422","EN-GJS-600-3","D510/60X90","2.000","32.250","KG","32.250","KG"
"000.630.118.902","K-BODEN!O D510/60X90 VERKUPFERT","0001-1000","01","K422","EN-GJS-600-3","D510/60X90","","32.500","KG","32.500","KG"
"000.630.118.903","K-BODEN!O D510/60X90","0001-1000","01","K422","EN-GJS-600-3","D510/60X90","3.000","32.250","KG","32.250","KG"
"000.630.118.921","K-BODEN!U D510/60X90","0001-1000","01","K422","EN-GJS-600-3","U D510/60X90","2.000","33.000","KG","33.000","KG"
"000.630.118.922","K-BODEN!U U D510/60X90 VERKUPFERT","0001-1000","01","K422","EN-GJS-600-3","U D510/60X90","","33.000","KG","33.000","KG"
"000.630.122.922","LATERNE SV-196!D211/142X170,5","0001-1000","01","K361","EN-GJL-200","D211/142X170,5","","7.600","KG","7.600","KG"
"000.630.122.923","LATERNE DV-196!D211/142X173","0001-1000","","K361","EN-GJL-200","D211/142X173","","7.500","KG","7.500","KG"
"000.630.134.002","KOLBENSTANGE!D60X1137,5","0001-1000","01","K431","34CRNIMO6+QT","D60X1137,5","","22.117","KG","22.117","KG"
"000.630.134.221","K-MANTEL!D340/310X140","0001-1000","01","K411","G-CU SN 10","D340/310X140","","11.000","KG","11.000","KG"
"000.630.134.328","K-MANTEL!D405/375X146","0001-1000","01","K411","G-CUSN10","D405/375X146","","15.000","KG","15.000","KG"
"000.630.134.332","K-MANTEL!D405/375X146","0001-1200","01","K411","EN-GJL-200","D405/375X146","","12.500","KG","12.500","KG"
"000.630.134.401","K-BODEN!O D325X70","0001-1000","01","K422","EN-GJS-600-3","O D325X70","","13.800","KG","13.800","KG"
"000.630.134.421","K-BODEN!U D325X70","0001-1000","01","K422","EN-GJS-600-3","U D325X70","","12.470","KG","12.470","KG"
"000.630.139.801","LATERNE DV-176!D191/122X155,5","0001-1000","01","K361","EN-GJL-200","D191/122X155,5","","9.496","KG","9.496","KG"
"000.630.139.821","LATERNE SV-176!D191/122X149,5","0001-1000","01","K361","EN-GJL-200","D191/122X149,5","","8.934","KG","8.934","KG"
"000.630.159.801","ZYL-DECKEL!D535X240","0001-1000","01","K82.2","EN-GJL-250","D535X240","","95.000","KG","95.000","KG"
"000.630.160.001","ZYL-DECKEL!D312X240","0001-1000","01","K82.2","EN-GJL-250","D312X240","","75.000","KG","75.000","KG"
"000.630.160.201","LATERNE DV!D171X275","0001-1000","01","K361","EN-GJL-200","D171X275","2.000","14.647","KG","14.647","KG"
"000.630.160.221","LATERNE SV!D171X269","0001-1000","01","K361","EN-GJL-200","SV D171X269","2.000","12.100","KG","12.100","KG"
"000.630.161.501","K-BODEN!U D425X90","0001-1000","01","K422","EN-GJS-600-3","D425X90","","24.800","KG","24.800","KG"
"000.630.161.503","K-BODEN!U D425X90 VERKUPFERT","0001-1000","01","K422","EN-GJS-600-3","D425X90","","26.600","KG","26.600","KG"
"000.630.161.521","K-BODEN!O D425X90","0001-1000","01","K422","EN-GJS-600-3","D425X90","","25.800","KG","25.800","KG"
"000.630.161.523","K-BODEN!O D425X90 VERKUPFERT","0001-1000","01","K422","EN-GJS-600-3","D425X90","","25.800","KG","25.800","KG"
"000.630.163.301.2","LATERNE!DV D191X213,5","0001-1000","","K361","EN-GJL-200","DV D191X213,5","","5.480","KG","5.480","KG"
"000.630.163.321.2","LATERNE!SV D191X207,5","0001-1000","","K361","EN-GJL-200","SV D191X207,5","","5.460","KG","5.460","KG"
"000.630.165.561","ANTRIEB!2D205/4D225B","0001-1000","01","K600","","4D225B","","1,560.000","KG","1,560.000","KG"
"000.630.177.601","K-MANTEL!D420/380X180","0001-1000","","K411","AL CU2MG NI 1.5","D420X180","","8.230","KG","8.230","KG"
"000.630.183.401.2","LATERNE!DV D171X160,5","0001-1000","","K361","EN-GJL-200","D171X160,5","","3.720","KG","3.720","KG"
"000.630.183.421.2","LATERNE!SV D171X154,5","0001-1000","01","K361","EN-GJL-200","D171X154,5","","3.740","KG","3.740","KG"
"000.630.204.522","K-MANTEL!D240/210X150","0001-1200","01","K411","EN-GJL-200","D240/210X150","10.000","7.900","KG","7.900","KG"
"000.630.204.571","K-MANTEL!D242/210X150 UM","0001-1000","01","K411","G-CU SN 10","D242/210X150 UM","","9.250","KG","9.250","KG"
"000.630.207.301","STOPFB DECKEL!D215/85X45","0001-1000","01","K212","X12CRS13/V+S","D155/59X47","","6.470","KG","6.470","KG"
"000.630.210.921","DECKEL OELP!204X128","0001-1000","01","K72","EN-GJL-200","204X128","8.000","3.300","KG","3.900","KG"
"000.630.211.821","K-MANTEL!D240/210X180","0001-1000","","K411","G-CUSN10","D240/210X180","","10.750","KG","10.750","KG"
"000.630.211.822","K-MANTEL!D240/210X180","0001-1000","","K411","EN-GJL-200","D240/210X180","3.000","9.000","KG","9.000","KG"
"000.630.211.823","K-MANTEL!D240/210X180","0001-1000","01","K411","EN-GJL-200","D240/210X180","3.000","9.000","KG","9.000","KG"
"000.630.211.870","K-MANTEL!D241,5/210X180 UM","0001-1000","01","K411","G-CU SN 10","D241,5/210X180 UM","","10.750","KG","10.750","KG"
"000.630.216.801","K-BODEN!O D225X75","0001-1000","01","K422","EN-GJS-600-3","O D225X75","","8.100","KG","8.100","KG"
"000.630.216.804","K-BODEN!O D225X75","0001-1000","01","K422","EN-GJS-600-3","O D225X75","","7.999","KG","7.999","KG"
"000.630.216.821","K-BODEN!U D225X75","0001-1000","01","K422","EN-GJS-600-3","U D225X75","","8.950","KG","8.950","KG"
"000.630.216.824","K-BODEN!U D225X75","0001-1000","01","K422","EN-GJS-600-3","U D225X75","","8.828","KG","8.828","KG"
"000.630.217.102","K-BODEN!O D225X90 VERKUPFERT","0001-1000","01","K422","EN-GJS-600-3","O D225X90","","9.700","KG","9.700","KG"
"000.630.217.103","K-BODEN!O D225X90","0001-1000","01","K422","EN-GJS-600-3","O D225X90","4.000","9.600","KG","9.600","KG"
"000.630.217.121","K-BODEN!U D225X90","0001-1000","01","K422","EN-GJS-600-3","U D225X90","","10.980","KG","10.980","KG"
"000.630.217.122","K-BODEN!U D225X90 VERKUPFERT","0001-1000","01","K422","EN-GJS-600-3","D225X90","","10.980","KG","10.980","KG"
"000.630.217.123","K-BODEN!U D225X90","0001-1000","01","K422","EN-GJS-600-3","U D225X90","4.000","10.980","KG","10.980","KG"
"000.630.219.902","STOPFB DECKEL!D185/68X46","0001-1000","01","K212","X12CRS13/V+S","D185/68X46","","4.810","KG","4.810","KG"
