"material","description","product_hierarchy","division","gpr","basic_material","dimensions","min_lot","weight_net","weight_net_unit","weight_gross","weight_gross_unit"
"122.143.075.200","KAMMERRING 5!D365/108,5X51","0003-4200","04","K311","","D365/108,5X51","","34.000","KG","34.000","KG"
"122.143.075.201","KAMMERRING 5!D365/108,5X51","0003-4200","04","K311","","D365/108,5X51","","35.100","KG","35.100","KG"
"122.143.076.200","KAMMERRING 6!D365/108,5X51","0003-4200","04","K311","","D365/108,5X51","","34.000","KG","34.000","KG"
"122.143.076.201","KAMMERRING 6!D365/108,5X51","0003-4200","04","K311","","D365/108,5X51","","34.000","KG","34.000","KG"
"122.143.149.201","PACKUNG!2./3.STUFE","0003-2200","02","K600","","","","6.370","KG","6.370","KG"
"122.143.510.019","BLINDFLANSCH!1"" CL150 RF","0009-0000","","K490","A105","1"" CL150 RF","2.000","0.300","KG","0.300","KG"
"122.143.677.200.P","KUEHLMANTEL CSS!D470/300X539","0003-4200","04","K600","","D470/300X539","","111.695","KG","111.695","KG"
"122.144.574.200","FUEHRUNGSBUECHSE!D448X220X935","0003-4200","04","K112","","D448X220X935","","262.000","KG","262.000","KG"
"122.204.930.001","KK-FUEHRUNG!D350X200X480","0005-7500","05","K111","EN-GJL-250","D350X200X480","","45.000","KG","45.000","KG"
"122.207.521.201","SCHUBSTANGE!","0003-2000","02","K600","","L280","","15.030","KG","15.030","KG"
"122.209.743.001","GEHAEUSE!D128X245","0003-2000","02","K211","S355J2+N","D128X245","5.000","20.000","KG","20.000","KG"
"122.209.743.201","SCHMIERPUMPENGEHAEUSE!","0003-4200","04","K75","ST","","","25.000","KG","25.000","KG"
"122.213.363.201","PACKUNG!","0003-2200","02","K600","","","","25.600","KG","25.600","KG"
"122.215.170.201","SCHUBSTANGE KOMPL!L700","0003-2800","02","K600","","L700","","90.000","KG","90.000","KG"
"122.217.959.001","GEHAEUSE!D128X251","0003-4200","04","K75","34CRNIMO6","D128X251","30.000","25.000","KG","25.000","KG"
