to_char, description, time_measured, time_planned, delay
2018-01-08, SCHLEIFEN, GRATEN, VERPUTZEN, 2643660.000, 170316.000, 687.04000000000000000000
2018-01-08, SCHLOSSER VERP. GTF, 262260.000, 154260.000, 30.00000000000000000000
2018-01-08, SERVICE UND MONTAGE, 23940.000, 3780.000, 5.60000000000000000000
2018-01-08, SP.-DREHEN KLEIN, 1320660.000, 144540.000, 326.70000000000000000000
2018-01-08, STELLZYLINDER MONT., 179640.000, 25920.000, 42.70000000000000000000
2018-01-15, ABL.KONTR. MONTAGE, 17100.000, 13500.000, 1.00000000000000000000
2018-01-15, ABSÄGEN OPTIMO, 3413340.000, 170604.000, 901.09333333333333333331
2018-01-15, AUTOFRETTAGE, 1832040.000, 87840.000, 484.50000000000000000000
2018-01-15, BAZ ECOFORCE, 982800.000, 334800.000, 180.0000000000000000
2018-01-15, BOHRWERK SCHARMANN, 167400.000, 48600.000, 33.00000000000000000000
2018-01-15, CNC-BAZ DS ALPHA, 721800.000, 244800.000, 132.5000000000000000
2018-01-15, CNC-BAZ HEAVYSPEED, 169200.000, 154800.000, 4.0000000000000000
2018-01-15, CNC-VERT.-DREHEN DS, 610200.000, 201600.000, 113.5000000000000000
2018-01-15, DBAZ MCT 350-2000, 302160.000, 82728.000, 60.95333333333333330000
2018-01-15, DBAZ MCT 550-2000, 3575160.000, 571320.000, 834.4000000000000000
2018-01-15, DBAZ MCT 550-3000, 430560.000, 164880.000, 73.80000000000000000000
2018-01-15, DBAZ MCT 550-RS, 1650060.000, 360900.000, 357.3500000000000000
2018-01-15, DBAZ MULTUS B200, 13734360.000, 315360.000, 3727.50000000000000000000
2018-01-15, DBAZ MULTUS B400, 4047360.000, 212220.000, 1064.40000000000000000000
2018-01-15, DRUCKPR. KLEINTEILE, 1069200.000, 54000.000, 282.0000000000000000
2018-01-15, DRUCKPRÜFUNG, 1860660.000, 543060.000, 366.00000000000000000000
2018-01-15, DRUCKPRÜFUNG ROHRL., 101460.000, 50670.000, 14.00000000000000000000
2018-01-15, FABR. KONTROLLE, 1624848.000, 299088.000, 368.26666666666666660001
2018-01-15, FL.-/DRUCKFLIESSLÄP, 2720040.000, 116640.000, 723.16666666666666670000
2018-01-15, HONMASCHINE, 311400.000, 76680.000, 65.2000000000000000
2018-01-15, KAMMERRINGE PL4 FIN, 7200.000, 6120.000, 0.30000000000000000000
2018-01-15, KEILN.-ZIEHMASCHINE, 63000.000, 19800.000, 12.0000000000000000
2018-01-15, KONTR. GROSSTEILE, 157500.000, 71100.000, 24.00000000000000000000
2018-01-15, KONTR. HD-HYPER T., 542880.000, 118080.000, 118.00000000000000000000
2018-01-15, MALER KLEIN, 508320.000, 318240.000, 52.80000000000000000000
2018-01-15, MALER KOMPR., 276300.000, 76860.000, 55.40000000000000000000
2018-01-15, MAT.-PRÜF.QUALITECH, 189240.000, 53748.000, 37.63666666666666666667
2018-01-15, MESSMASCHINE GROSS, 107100.000, 53100.000, 15.0000000000000000
2018-01-15, MESSMASCHINE KLEIN, 134280.000, 32760.000, 28.20000000000000000000
2018-01-15, MONT.BG GROSS/KLEIN, 657540.000, 216540.000, 122.50000000000000000000
2018-01-15, MONTAGE PL2/4, 792000.000, 761400.000, 8.5000000000000000
2018-01-15, MONTAGE SCHUBST.-KK, 1482300.000, 179100.000, 362.0000000000000000
2018-01-15, OELABSTR. LAEPPEN, 4292100.000, 98460.000, 1164.9000000000000000
2018-01-15, PRÜFEN HD-SCHMIERPUMPEN, 1577700.000, 87300.000, 414.00000000000000000000
2018-01-15, R-SCHL.LTG ANPASSEN, 230100.000, 223200.000, 1.91666666666666660000
2018-01-15, RAD.-SCHLEIFMASCH., 3170940.000, 305388.000, 795.98666666666666680001
2018-01-15, RADIALBOHRMASCHINEN, 16200.000, 5400.000, 3.00000000000000000000
2018-01-15, ROHRSCHLOSSER, 833580.000, 371700.000, 128.30000000000000000000
2018-01-15, RUNDSCHLEIFMASCH., 140400.000, 48600.000, 25.50000000000000000000
2018-01-15, SCHLEIF. HYPER KOMP, 1096920.000, 217080.000, 244.40000000000000000000
2018-01-15, SCHLEIFEN, GRATEN, VERPUTZEN, 1082160.000, 216000.000, 240.60000000000000000000
2018-01-15, SCHLOSSER VERP. GTF, 475200.000, 302400.000, 48.00000000000000000000
2018-01-15, SP.-DREHEN KLEIN, 317880.000, 161280.000, 43.50000000000000000000
2018-01-15, STELLZYLINDER MONT., 760140.000, 71820.000, 191.20000000000000000000
2018-01-15, ZELLE FRÄSEN/BOHREN, 797760.000, 67680.000, 202.80000000000000000000
2018-01-22, ABSÄGEN OPTIMO, 2337780.000, 135558.000, 611.98666666666666666668
2018-01-22, ANREISSPLATZ M./M., 243900.000, 114300.000, 36.00000000000000000000
