2018-01-15 12:01:00.000	9340	1650060	360900	358.1
2018-01-15 12:01:00.000	9341	430560	164880	73.8
2018-01-15 12:01:00.000	9342	3575160	571320	834.4
2018-01-15 12:01:00.000	9370	95160	50688	12.3533333333333333
2018-01-15 12:01:00.000	9371	207000	32040	48.6
2018-01-15 12:01:00.000	9380	13734360	315360	3727.5
2018-01-15 12:01:00.000	9381	4047360	212220	1065.3166666666666667
2018-01-15 12:01:00.000	9680	1832040	87840	484.5
2018-01-15 12:01:00.000	9681	1577700	87300	414
2018-01-15 12:01:00.000	9690	1082160	216000	240.6
2018-01-15 12:01:00.000	96901	1096920	217080	244.4
2018-01-15 12:01:00.000	9691	4292100	98460	1164.9
2018-01-15 12:01:00.000	9692	1482300	179100	362
2018-01-15 12:01:00.000	9694	2720040	116640	723.1666666666666667
2018-01-15 12:01:00.000	9695	657540	216540	122.5
2018-01-15 12:01:00.000	9696	7200	6120	0.3
2018-01-15 12:01:00.000	9699	760140	71820	191.2
2018-01-15 12:01:00.000	9705	792000	761400	8.5
2018-01-15 12:01:00.000	9710	833580	371700	128.3
2018-01-15 12:01:00.000	9711	230100	223200	1.9166666666666667
2018-01-15 12:01:00.000	9810	276300	76860	55.4
2018-01-15 12:01:00.000	9812	508320	318240	52.8
2018-01-15 12:01:00.000	9920	797760	67680	202.8
2018-01-15 12:01:00.000	9926	63000	19800	12
2018-01-15 12:01:00.000	9941	3170940	305388	795.9866666666666667
2018-01-15 12:01:00.000	9943	140400	48600	25.5
2018-01-15 12:01:00.000	9944	311400	76680	65.2
2018-01-22 12:01:00.000	3501	41580	7740	9.4
2018-01-22 12:01:00.000	5620	2337780	135558	611.7283333333333333
2018-01-22 12:01:00.000	5640	227760	45000	50.7666666666666667
2018-01-22 12:01:00.000	5940	1350960	327708	284.2366666666666667
2018-01-22 12:01:00.000	5941	105240	41220	17.7833333333333333
2018-01-22 12:01:00.000	5943	247320	54360	53.6
2018-01-22 12:01:00.000	5945	147600	90000	16
2018-01-22 12:01:00.000	5947	220140	114300	29.4
2018-01-22 12:01:00.000	9011	180900	135900	12.5
2018-01-22 12:01:00.000	9050	115200	108000	2
2018-01-22 12:01:00.000	9080	207000	127800	22
2018-01-22 12:01:00.000	9081	333900	135900	55
2018-01-22 12:01:00.000	9090	81540	26820	15.2
2018-01-22 12:01:00.000	9110	154800	55800	27.5
2018-01-22 12:01:00.000	9200	243900	114300	36
2018-01-22 12:01:00.000	9220	821700	620100	56
2018-01-22 12:01:00.000	9224	32520	18720	3.8333333333333333
2018-01-22 12:01:00.000	9225	281010	85860	54.2083333333333333
2018-01-22 12:01:00.000	9310	369720	109440	72.3
2018-01-22 12:01:00.000	9320	248400	106200	39.5
2018-01-22 12:01:00.000	9340	397800	196380	55.95
2018-01-22 12:01:00.000	9341	429300	151740	77.1
2018-01-22 12:01:00.000	9342	2639880	630000	558.3
2018-01-22 12:01:00.000	9370	250560	61560	52.5
2018-01-22 12:01:00.000	9371	107280	39600	18.8
2018-01-22 12:01:00.000	9380	7831260	209340	2117.2
2018-01-22 12:01:00.000	9381	1512540	152100	377.9
2018-01-22 12:01:00.000	9690	1179900	178200	278.25
2018-01-22 12:01:00.000	96901	343260	138780	56.8
2018-01-22 12:01:00.000	9691	7713000	176400	2093.5
2018-01-22 12:01:00.000	9692	617400	117900	138.75
2018-01-22 12:01:00.000	9694	533820	99720	120.5833333333333333
2018-01-22 12:01:00.000	9695	577620	285660	81.1
2018-01-22 12:01:00.000	9696	101700	64620	10.3
2018-01-22 12:01:00.000	9697	180900	18900	45
2018-01-22 12:01:00.000	9711	728100	655200	20.25
2018-01-22 12:01:00.000	9812	1362960	447840	254.2
2018-01-22 12:01:00.000	9920	79740	16380	17.6
2018-01-22 12:01:00.000	9926	8640	6480	0.6
2018-01-22 12:01:00.000	9941	4307220	412956	1081.74
2018-01-22 12:01:00.000	9943	190260	111060	22
2018-01-22 12:01:00.000	9944	62640	28080	9.6
2018-01-29 12:01:00.000	2601	41400	19800	6
2018-01-29 12:01:00.000	5620	589380	56052	148.1466666666666667
2018-01-29 12:01:00.000	5640	239160	96012	39.7633333333333333
2018-01-29 12:01:00.000	5940	1844676	345312	416.49
2018-01-29 12:01:00.000	5941	137520	39960	27.1
2018-01-29 12:01:00.000	5942	5220	4500	0.2
2018-01-29 12:01:00.000	5945	41400	27000	4
2018-01-29 12:01:00.000	5947	394560	159840	65.2
2018-01-29 12:01:00.000	9011	1309320	460800	235.7
2018-01-29 12:01:00.000	9050	86400	55800	8.5
2018-01-29 12:01:00.000	9071	457800	360000	27.1666666666666667
2018-01-29 12:01:00.000	9081	224100	90900	37
2018-01-29 12:01:00.000	9090	199800	22320	49.3
2018-01-29 12:01:00.000	9110	1281600	277200	279
2018-01-29 12:01:00.000	9220	1521900	787500	204
2018-01-29 12:01:00.000	9224	1052280	84600	268.8
2018-01-29 12:01:00.000	9225	107970	56790	14.2166666666666667
2018-01-29 12:01:00.000	9310	2130840	223920	529.7
2018-01-29 12:01:00.000	9320	388800	154800	65
2018-01-29 12:01:00.000	9340	1832400	450540	383.85
2018-01-29 12:01:00.000	9341	870240	197100	186.9833333333333333
2018-01-29 12:01:00.000	9342	4475400	543060	1092.3166666666666667
2018-01-29 12:01:00.000	9371	1473000	110520	378.4666666666666667
2018-01-29 12:01:00.000	9380	9442800	248760	2553.9
2018-01-29 12:01:00.000	9381	5980788	319320	1572.63
2018-01-29 12:01:00.000	9680	375300	44100	92
2018-01-29 12:01:00.000	9681	9227700	263700	2490
2018-01-29 12:01:00.000	9690	677340	147420	147.2
2018-01-29 12:01:00.000	96901	62820	37620	7
2018-01-29 12:01:00.000	9691	13423500	273420	3652.8
2018-01-29 12:01:00.000	9692	748800	148500	166.75
2018-01-29 12:01:00.000	9694	98460	41220	15.9
2018-01-29 12:01:00.000	9695	592740	275220	88.2
2018-01-29 12:01:00.000	9696	149760	59040	25.2
2018-01-29 12:01:00.000	9697	173700	44100	36
2018-01-29 12:01:00.000	9699	351720	49320	84
2018-01-29 12:01:00.000	9710	1061100	561600	138.75
2018-01-29 12:01:00.000	9810	581580	145980	121
2018-01-29 12:01:00.000	9812	555120	282780	75.65
2018-01-29 12:01:00.000	9920	268740	29700	66.4
2018-01-29 12:01:00.000	9926	13500	8100	1.5
2018-01-29 12:01:00.000	9941	3071940	308772	767.5466666666666667
2018-01-29 12:01:00.000	9943	1284300	171900	309
2018-02-05 12:02:00.000	2601	46800	25200	6
2018-02-05 12:02:00.000	5620	4782900	181422	1278.1883333333333333
2018-02-05 12:02:00.000	5640	160800	37872	34.1466666666666667
2018-02-05 12:02:00.000	5940	2032560	349416	467.54
2018-02-05 12:02:00.000	5941	333720	85680	68.9
2018-02-05 12:02:00.000	5947	92700	52380	11.2
2018-02-05 12:02:00.000	9011	57600	54000	1
2018-02-05 12:02:00.000	9031	1026000	410400	171
2018-02-05 12:02:00.000	9050	156000	36000	33.3333333333333333
2018-02-05 12:02:00.000	9080	39960	32760	2
2018-02-05 12:02:00.000	9081	289800	135000	43
2018-02-05 12:02:00.000	9090	97200	48600	13.5
2018-02-05 12:02:00.000	9110	674640	140040	148.5
2018-02-05 12:02:00.000	9200	268560	133920	37.4
2018-02-05 12:02:00.000	9224	697860	58140	177.7
2018-02-05 12:02:00.000	9225	67740	38880	8.0166666666666667
2018-02-05 12:02:00.000	9310	64260	30060	9.5
2018-02-05 12:02:00.000	9320	149400	68400	22.5
2018-02-05 12:02:00.000	9340	512880	267840	68.0666666666666667
2018-02-05 12:02:00.000	9341	4738320	192060	1262.85
2018-02-05 12:02:00.000	9342	3106560	664740	678.2833333333333333
2018-02-05 12:02:00.000	9370	728520	194184	148.4266666666666667
2018-02-05 12:02:00.000	9371	283680	46080	66
2018-02-05 12:02:00.000	9380	17939700	331740	4891.1
2018-02-05 12:02:00.000	9381	1390860	207900	328.6
2018-02-05 12:02:00.000	9680	1634400	68400	435
2018-02-05 12:02:00.000	9690	1519200	206460	364.65
2018-02-05 12:02:00.000	96901	649980	155880	137.25
2018-02-05 12:02:00.000	9692	651600	97200	154
2018-02-05 12:02:00.000	9694	1132740	66420	296.2
2018-02-05 12:02:00.000	9695	695880	262080	120.5
2018-02-05 12:02:00.000	9696	103260	47700	15.4333333333333333
2018-02-05 12:02:00.000	9697	3862800	241200	1006
2018-02-05 12:02:00.000	9710	1154100	617940	148.9333333333333333
2018-02-05 12:02:00.000	9810	1414080	492480	256
2018-02-05 12:02:00.000	9812	828360	407520	116.9
2018-02-05 12:02:00.000	9920	32940	22140	3
2018-02-05 12:02:00.000	9926	264600	27000	66
2018-02-05 12:02:00.000	9941	2288220	192204	582.2266666666666667
2018-02-05 12:02:00.000	9943	585000	106200	133
2018-02-05 12:02:00.000	9944	132840	52200	22.4
2018-02-12 12:02:00.000	2601	35100	13500	6
2018-02-12 12:02:00.000	3501	6660	2340	1.2
2018-02-12 12:02:00.000	5620	2175000	179732	554.2411111111111167
2018-02-12 12:02:00.000	5640	1294080	329652	267.8966666666666667
2018-02-12 12:02:00.000	5646	43200	27360	4.4
2018-02-12 12:02:00.000	5940	1851420	360036	414.2733333333333333
2018-02-12 12:02:00.000	5941	73620	41220	9
2018-02-12 12:02:00.000	5945	123000	52200	19.6666666666666667
2018-02-12 12:02:00.000	5947	213660	92700	33.6
2018-02-12 12:02:00.000	9011	270480	259200	3.1333333333333333
2018-02-12 12:02:00.000	9050	209700	152100	16
2018-02-12 12:02:00.000	9080	341460	222660	33
2018-02-12 12:02:00.000	9081	198000	100800	27
2018-02-12 12:02:00.000	9090	63720	27720	10
2018-02-12 12:02:00.000	9110	2840400	222336	727.24
2018-02-12 12:02:00.000	9220	181800	162900	5.25
2018-02-12 12:02:00.000	9224	194400	29160	45.9
2018-02-12 12:02:00.000	9225	28680	13410	4.2416666666666667
2018-02-12 12:02:00.000	9310	435060	120600	87.35
2018-02-12 12:02:00.000	9340	613620	375660	66.1
2018-02-12 12:02:00.000	9341	760980	159480	167.0833333333333333
2018-02-12 12:02:00.000	9342	2146320	521136	451.44
2018-02-12 12:02:00.000	9370	292680	105120	52.1
2018-02-12 12:02:00.000	9371	33300	24300	2.5
2018-02-12 12:02:00.000	9380	6280020	210852	1685.88
2018-02-12 12:02:00.000	9381	2571840	222840	652.5
2018-02-12 12:02:00.000	9680	33300	22500	3
2018-02-12 12:02:00.000	9690	2130300	211140	533.1
2018-02-12 12:02:00.000	96901	379080	137340	67.15
2018-02-12 12:02:00.000	9691	6055200	138600	1643.5
2018-02-12 12:02:00.000	9692	1114200	171000	262
2018-02-12 12:02:00.000	9694	2249940	95256	598.5233333333333333
2018-02-12 12:02:00.000	9696	86040	40680	12.6
2018-02-12 12:02:00.000	9697	180900	18900	45
2018-02-12 12:02:00.000	9699	176580	25380	42
2018-02-12 12:02:00.000	9710	769500	365580	112.2
2018-02-12 12:02:00.000	9810	966060	336780	174.8
2018-02-12 12:02:00.000	9920	11340	7020	1.2
2018-02-12 12:02:00.000	9941	536040	141120	109.7
2018-02-12 12:02:00.000	9943	497340	157860	94.3
2018-02-12 12:02:00.000	9945	7920	5760	0.6
2018-02-19 12:02:00.000	5620	1603140	67842	426.4716666666666667
2018-02-19 12:02:00.000	5640	153720	52452	28.13
2018-02-19 12:02:00.000	5940	1757580	292644	406.9266666666666667
2018-02-19 12:02:00.000	5941	244620	106740	38.3
2018-02-19 12:02:00.000	5943	100620	36180	17.9
2018-02-19 12:02:00.000	5945	170820	84420	24
2018-02-19 12:02:00.000	5947	74340	39060	9.8
2018-02-19 12:02:00.000	9041	186300	153900	9
2018-02-19 12:02:00.000	9071	169200	158400	3
2018-02-19 12:02:00.000	9081	75600	61200	4
2018-02-19 12:02:00.000	9090	104400	28800	21
2018-02-19 12:02:00.000	9110	104400	64800	11
2018-02-19 12:02:00.000	9200	111960	47160	18
2018-02-19 12:02:00.000	9224	213420	63360	41.6833333333333333
2018-02-19 12:02:00.000	9225	115710	60660	15.2916666666666667
2018-02-19 12:02:00.000	9310	154980	77220	21.6
2018-02-19 12:02:00.000	9340	5660760	442980	1449.3833333333333333
2018-02-19 12:02:00.000	9341	843660	157320	190.65
2018-02-19 12:02:00.000	9342	2941020	521100	672.2
2018-02-19 12:02:00.000	9370	1954980	186840	491.15
2018-02-19 12:02:00.000	9371	1771080	128664	456.2266666666666667
2018-02-19 12:02:00.000	9380	9031320	191880	2455.4
2018-02-19 12:02:00.000	9381	6166620	253080	1642.65
2018-02-19 12:02:00.000	9680	1908000	93600	504
2018-02-19 12:02:00.000	9690	2226780	278316	541.24
2018-02-19 12:02:00.000	96901	234000	68400	46
2018-02-19 12:02:00.000	9691	14411700	288540	3923.1
2018-02-19 12:02:00.000	9692	184500	62100	34
2018-02-19 12:02:00.000	9694	11880	8280	1
2018-02-19 12:02:00.000	9695	1105560	132336	270.34
2018-02-19 12:02:00.000	9696	27660	15660	3.3333333333333333
2018-02-19 12:02:00.000	9699	5940	3420	0.7
2018-02-19 12:02:00.000	9710	441840	295020	40.7833333333333333
2018-02-19 12:02:00.000	9810	4140	3060	0.3
2018-02-19 12:02:00.000	9812	545220	224820	89
2018-02-19 12:02:00.000	9941	4937100	227412	1308.2466666666666667
2018-02-19 12:02:00.000	9944	42840	24120	5.2
2018-02-26 12:02:00.000	3501	669960	21960	180
2018-02-26 12:02:00.000	5620	2211300	135270	576.675
2018-02-26 12:02:00.000	5640	43080	32040	3.0666666666666667
2018-02-26 12:02:00.000	5940	1741464	384372	376.97
2018-02-26 12:02:00.000	5941	422460	30420	108.9
2018-02-26 12:02:00.000	5943	271800	88200	51
2018-02-26 12:02:00.000	5947	78480	50400	7.8
2018-02-26 12:02:00.000	9011	522000	208800	87
2018-02-26 12:02:00.000	9031	98100	91800	1.75
2018-02-26 12:02:00.000	9050	5400	4500	0.25
2018-02-26 12:02:00.000	9080	285480	150120	37.6
2018-02-26 12:02:00.000	9081	101700	62100	11
2018-02-26 12:02:00.000	9090	159300	85500	20.5
2018-02-26 12:02:00.000	9110	4108440	311112	1054.8133333333333333
2018-02-26 12:02:00.000	9224	741900	99360	178.4833333333333333
2018-02-26 12:02:00.000	9225	99390	69588	8.2783333333333333
2018-02-26 12:02:00.000	9320	176400	115200	17
2018-02-26 12:02:00.000	9340	3112200	323280	774.7
2018-02-26 12:02:00.000	9341	675900	193860	133.9
2018-02-26 12:02:00.000	9342	1921800	399780	422.7833333333333333
2018-02-26 12:02:00.000	9370	1348020	302688	290.37
2018-02-26 12:02:00.000	9371	711000	135360	159.9
2018-02-26 12:02:00.000	9380	7952400	138600	2170.5
2018-02-26 12:02:00.000	9381	2046420	170460	521.1
2018-02-26 12:02:00.000	9680	957600	66600	247.5
2018-02-26 12:02:00.000	9690	2131740	427356	473.44
2018-02-26 12:02:00.000	96901	53700	35352	5.0966666666666667
2018-02-26 12:02:00.000	9691	1878300	56340	506.1
2018-02-26 12:02:00.000	9692	522900	92700	119.5
2018-02-26 12:02:00.000	9694	108660	28980	22.1333333333333333
2018-02-26 12:02:00.000	9695	360780	140292	61.2466666666666667
2018-02-26 12:02:00.000	9696	68400	38880	8.2
2018-02-26 12:02:00.000	9697	389700	65700	90
2018-02-26 12:02:00.000	9699	385380	61740	89.9
2018-02-26 12:02:00.000	9703	318600	232200	24
2018-02-26 12:02:00.000	9710	404820	257760	40.85
