2018-01-08 12:01:00.000	RUNDSCHLEIFMASCH.	549900	74700	132
2018-01-08 12:01:00.000	SCHLEIF. HYPER KOMP	223200	98640	34.6
2018-01-08 12:01:00.000	SCHLEIFEN, GRATEN, VERPUTZEN	2643660	170316	687.04
2018-01-08 12:01:00.000	SCHLOSSER VERP. GTF	262260	154260	30
2018-01-08 12:01:00.000	SERVICE UND MONTAGE	23940	3780	5.6
2018-01-08 12:01:00.000	SP.-DREHEN KLEIN	1320660	144540	326.7
2018-01-08 12:01:00.000	STELLZYLINDER MONT.	179640	25920	42.7
2018-01-15 12:01:00.000	ABL.KONTR. MONTAGE	17100	13500	1
2018-01-15 12:01:00.000	ABSÄGEN OPTIMO	3413340	170604	900.76
2018-01-15 12:01:00.000	AUTOFRETTAGE	1832040	87840	484.5
2018-01-15 12:01:00.000	BAZ ECOFORCE	982800	334800	180
2018-01-15 12:01:00.000	BOHRWERK SCHARMANN	167400	48600	33
2018-01-15 12:01:00.000	CNC-BAZ DS ALPHA	721800	244800	132.5
2018-01-15 12:01:00.000	CNC-BAZ HEAVYSPEED	169200	154800	4
2018-01-15 12:01:00.000	CNC-VERT.-DREHEN DS	610200	201600	113.5
2018-01-15 12:01:00.000	DBAZ MCT 350-2000	302160	82728	60.9533333333333333
2018-01-15 12:01:00.000	DBAZ MCT 550-2000	3575160	571320	834.4
2018-01-15 12:01:00.000	DBAZ MCT 550-3000	430560	164880	73.8
2018-01-15 12:01:00.000	DBAZ MCT 550-RS	1650060	360900	358.1
2018-01-15 12:01:00.000	DBAZ MULTUS B200	13734360	315360	3727.5
2018-01-15 12:01:00.000	DBAZ MULTUS B400	4047360	212220	1065.3166666666666667
2018-01-15 12:01:00.000	DRUCKPR. KLEINTEILE	1069200	54000	282
2018-01-15 12:01:00.000	DRUCKPRÜFUNG	1860660	543060	366
2018-01-15 12:01:00.000	DRUCKPRÜFUNG ROHRL.	101460	50670	14.1083333333333333
